RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
chisel_z,chisel_x,chisel_y,chisel_w,chisel_Z,chisel_X,chisel_Y,gripper_z,gripper_x,gripper_y,gripper_w,gripper_Z,gripper_X,gripper_Y,battery_z,battery_x,battery_y,battery_w,battery_Z,battery_X,battery_Y,B1_Z,B1_X,B1_Y,B3_Z,B3_X,B3_Y,B2_Z,B2_X,B2_Y,A3_Z,A3_X,A3_Y,C3_Z,C3_X,C3_Y,A2_Z,A2_X,A2_Y,C2_Z,C2_X,C2_Y,A1_Z,A1_X,A1_Y,C1_Z,C1_X,C1_Y
-0.755705,-0.037171,0.090881,-0.647510,0.044117,0.386848,-0.061761,-0.667558,0.242208,-0.478326,-0.516629,0.314555,0.309148,0.191201,-0.001448,0.000631,0.000441,-0.999999,0.039046,0.138765,0.299872,0.038984,0.124362,0.380359,0.038900,0.127132,0.223049,0.039143,0.125321,0.298862,0.195516,0.129252,0.218403,-0.107722,0.133392,0.225581,0.197942,0.130466,0.298190,-0.107679,0.133106,0.298462,0.197743,0.131050,0.380816,-0.107560,0.133568,0.377803
-0.755889,-0.037792,0.090256,-0.647347,0.044125,0.386713,-0.061744,-0.667509,0.242114,-0.478528,-0.516550,0.314563,0.309104,0.191253,-0.001559,0.000696,0.000496,-0.999998,0.039050,0.138800,0.299923,0.038986,0.124360,0.380393,0.038900,0.127143,0.223087,0.039154,0.125323,0.298902,0.195495,0.129291,0.218429,-0.107719,0.133382,0.225624,0.197937,0.130463,0.298228,-0.107680,0.133096,0.298499,0.197745,0.131047,0.380849,-0.107557,0.133574,0.377841
-0.756068,-0.037205,0.090315,-0.647163,0.044007,0.386627,-0.061755,-0.667480,0.242028,-0.478688,-0.516480,0.314553,0.309058,0.191311,-0.001611,0.000693,0.000507,-0.999998,0.039040,0.138824,0.299969,0.038972,0.124354,0.380446,0.038883,0.127157,0.223134,0.039129,0.125334,0.298956,0.195465,0.129296,0.218475,-0.107739,0.133373,0.225679,0.197918,0.130472,0.298276,-0.107695,0.133104,0.298547,0.197745,0.131029,0.380894,-0.107569,0.133577,0.377900
-0.756056,-0.037193,0.090283,-0.647183,0.043996,0.386606,-0.061719,-0.667480,0.241899,-0.478862,-0.516379,0.314568,0.309007,0.191361,-0.001605,0.000685,0.000523,-0.999998,0.039042,0.138817,0.299996,0.038971,0.124361,0.380471,0.038872,0.127160,0.223163,0.039131,0.125332,0.298985,0.195476,0.129296,0.218486,-0.107728,0.133382,0.225715,0.197917,0.130500,0.298296,-0.107685,0.133093,0.298581,0.197744,0.131042,0.380919,-0.107573,0.133587,0.377932
-0.756091,-0.036448,0.091090,-0.647071,0.043916,0.386370,-0.061595,-0.667430,0.241859,-0.479004,-0.516330,0.314542,0.308979,0.191393,0.001698,0.000833,-0.000713,-0.999998,0.038909,0.137695,0.300029,0.038967,0.124365,0.380480,0.038865,0.127180,0.223184,0.039121,0.125354,0.299001,0.195455,0.129317,0.218486,-0.107731,0.133390,0.225733,0.197904,0.130492,0.298315,-0.107700,0.133101,0.298609,0.197746,0.131041,0.380933,-0.107577,0.133598,0.377946
-0.756153,-0.036470,0.091053,-0.647002,0.043917,0.386315,-0.061600,-0.667463,0.241681,-0.479241,-0.516151,0.314576,0.308903,0.191402,0.000815,0.000782,-0.000444,-0.999999,0.038907,0.137993,0.299991,0.038978,0.124378,0.380473,0.038885,0.127179,0.223172,0.039125,0.125359,0.298985,0.195466,0.129334,0.218457,-0.107716,0.133402,0.225724,0.197918,0.130509,0.298308,-0.107686,0.133088,0.298598,0.197763,0.131055,0.380927,-0.107563,0.133590,0.377936
-0.756178,-0.036427,0.091040,-0.646977,0.043900,0.386271,-0.061598,-0.667399,0.241629,-0.479437,-0.516075,0.314549,0.308865,0.191409,0.001398,0.000625,-0.000722,-0.999999,0.038923,0.137800,0.299961,0.038984,0.124381,0.380467,0.038878,0.127181,0.223166,0.039134,0.125375,0.298979,0.195465,0.129350,0.218434,-0.107716,0.133409,0.225713,0.197926,0.130525,0.298299,-0.107681,0.133098,0.298598,0.197753,0.131059,0.380920,-0.107563,0.133599,0.377931
-0.756239,-0.036523,0.090930,-0.646916,0.043914,0.386207,-0.061603,-0.667366,0.241555,-0.479664,-0.515942,0.314543,0.308801,0.191409,0.002181,0.000648,-0.000938,-0.999997,0.038941,0.137529,0.299983,0.038999,0.124369,0.380461,0.038898,0.127175,0.223155,0.039152,0.125365,0.298969,0.195483,0.129332,0.218438,-0.107705,0.133417,0.225702,0.197941,0.130515,0.298285,-0.107664,0.133089,0.298594,0.197759,0.131061,0.380911,-0.107556,0.133597,0.377928
-0.756030,-0.037950,0.089833,-0.647231,0.044054,0.386420,-0.061631,-0.667299,0.241507,-0.479889,-0.515842,0.314515,0.308744,0.191417,0.001444,0.000634,-0.000713,-0.999999,0.038926,0.137766,0.299962,0.038993,0.124370,0.380464,0.038896,0.127171,0.223157,0.039146,0.125350,0.298978,0.195489,0.129320,0.218440,-0.107721,0.133393,0.225705,0.197929,0.130491,0.298291,-0.107670,0.133092,0.298588,0.197756,0.131056,0.380910,-0.107562,0.133588,0.377924
